id_contrat,date_ouverture,date_cloture,type_offre,type_client,etat_ticket,sujet,type_incident,indisponibilité,dérangement,facturation,internet_fixe,id_client	,MOIS,Annee
contrat_148,09-16-21,44455.33931,ADSL,Résidentiel,Clôturé,Déconnexion > Avec perte de synchro (Problème côté TT),T,TRUE,TRUE,,TRUE,,7,2025
contrat_149,08-06-21,44483.45549,VDSL,Pro,Clôturé,Déconnexion > Avec perte de synchro (Problème côté TT),T,TRUE,TRUE,,TRUE,,7,2025
contrat_150,08-05-21,44456.38334,VDSL,Pro,Clôturé,Synchro pas d’accès > Problème configuration routeur,T,TRUE,TRUE,,TRUE,,7,2025
contrat_151,12-27-21,44557.42898,VDSL,Pro,Clôturé,Pas de synchro > Problème côté TT,T,TRUE,TRUE,,TRUE,,7,2025
contrat_152,07-03-21,44380.42399,VDSL,Pro,Clôturé,Synchro pas d’accès > Problème configuration routeur,T,TRUE,TRUE,,TRUE,,7,2025
contrat_153,11-16-21,44676.40719,VDSL,Pro,Clôturé,Synchro pas d’accès > Problème Authentification (codes d’accès),T,TRUE,TRUE,,TRUE,,7,2025
contrat_154,07-19-21,44396.35263,VDSL,Pro,Clôturé,Pas de synchro > Problème côté TT,T,TRUE,TRUE,,TRUE,,7,2025
contrat_154,12-15-21,44545.67461,VDSL,Pro,Clôturé,Déconnexion > Sans perte de synchro (Problème côté TT),T,TRUE,TRUE,,TRUE,,7,2025
contrat_156,12-29-21,44559.28928,VDSL,Pro,Clôturé,Synchro pas d’accès > Contrat suspendu côté Gnet,NT,,,FALSE,TRUE,,7,2025
contrat_157,11-10-21,44587.70287,VDSL,Pro,Clôturé,Partenariat: Réactivation contrat,NT,,,FALSE,TRUE,,7,2025
contrat_157,11-12-21,44840.55896,VDSL,Pro,Clôturé,Partenariat: Suivi demande,NT,,,FALSE,TRUE,,7,2025
contrat_159,09-25-21,44578.41157,VDSL,Résidentiel,Clôturé,Lenteur > Taux de transfert  non-conforme,T,FALSE,TRUE,,TRUE,,7,2025
contrat_160,09-14-21,44578.41036,VDSL,Résidentiel,Clôturé,Wifi > Problème de portée (signal wifi),T,FALSE,TRUE,,TRUE,,7,2025
contrat_161,07-29-21,44439.31535,VDSL,Résidentiel,Clôturé,Pas de synchro > Problème côté TT,T,TRUE,TRUE,,TRUE,,7,2025
contrat_162,11-22-21,44676.40858,VDSL,Résidentiel,Clôturé,Synchro pas d’accès >(Autres),T,TRUE,TRUE,,TRUE,,7,2025
contrat_163,10-04-21,44501.68124,VDSL,Résidentiel,Clôturé,Pas de synchro > Problème côté TT,T,TRUE,TRUE,,TRUE,,7,2025
contrat_164,09-27-21,44466.47293,VDSL,Résidentiel,Clôturé,Synchro pas d’accès > Problème côté TT,T,TRUE,TRUE,,TRUE,,7,2025
contrat_165,09-22-21,44461.55801,VDSL,Résidentiel,Clôturé,Synchro pas d’accès > Problème configuration routeur,T,TRUE,TRUE,,TRUE,,7,2025
contrat_165,11-27-21,44620.41928,VDSL,Pro,Clôturé,Lenteur > Débit non conforme (problème ligne TT),T,FALSE,TRUE,,TRUE,,7,2025
contrat_165,08-02-21,44411.49833,SDSL,Pro,Clôturé,Gratuité: Geste commercial suite Prob Technique,NT,,,FALSE,TRUE,,7,2025
contrat_165,12-18-21,44550.39712,SDSL,Pro,Clôturé,Gratuité: Geste commercial suite Prob Technique,NT,,,FALSE,TRUE,,7,2025
contrat_165,07-31-21,44410.41326,SDSL,Pro,Clôturé,Résiliation : Suivi de la résiliation,T,,,FALSE,TRUE,,7,2025
contrat_165,11-02-21,44502.63464,VDSL,Pro,Clôturé,Résiliation : Suivi de la résiliation,T,,,FALSE,TRUE,,7,2025
contrat_165,12-16-21,44546.59559,VDSL,Pro,Clôturé,Résiliation : Suivi de la résiliation,T,,,FALSE,TRUE,,7,2025
contrat_165,07-28-21,44410.414,VDSL,Pro,Clôturé,Résiliation: Demande de Résiliation,T,,,FALSE,TRUE,,7,2025
contrat_165,11-01-21,44555.32884,VDSL,Pro,Clôturé,Résiliation: Demande de Résiliation,NT,,,FALSE,TRUE,,7,2025
contrat_174,11-26-21,44628.52256,VDSL,Pro,Clôturé,Synchro pas d’accès > Problème configuration routeur,T,TRUE,TRUE,,TRUE,,7,2025
contrat_175,07-19-21,44572.56757,VDSL,Pro,Clôturé,Synchro pas d’accès > Problème côté TT,T,TRUE,TRUE,,TRUE,,7,2025
contrat_176,11-24-21,44676.40881,VDSL,Pro,Clôturé,Déconnexion > Avec perte de synchro (Problème côté TT),T,TRUE,TRUE,,TRUE,,7,2025
contrat_176,11-23-21,44523.69462,VDSL,Résidentiel,Clôturé,"Wifi > Changement paramètre (SSID, mot de passe, channel,…)",T,FALSE,TRUE,,TRUE,,7,2025
contrat_178,10-21-21,44572.58291,VDSL,Résidentiel,Clôturé,Pas de synchro > Problème côté TT,T,TRUE,TRUE,,TRUE,,7,2025
contrat_179,11-05-21,44505.43456,VDSL,Résidentiel,Clôturé,Synchro pas d’accès > Problème configuration routeur,T,TRUE,TRUE,,TRUE,,7,2025
contrat_180,07-31-21,44408.4084,VDSL,Résidentiel,Clôturé,Synchro pas d’accès > Contrat suspendu côté Gnet,NT,,,FALSE,TRUE,,7,2025
contrat_180,08-02-21,44468.36503,VDSL,Résidentiel,Clôturé,Partenariat: Réactivation contrat,NT,,,FALSE,TRUE,,7,2025
contrat_182,08-03-21,44411.52633,VDSL,Résidentiel,Ouvert,Partenariat: Modem : Retour Sans paiement,NT,,,FALSE,TRUE,,7,2025
contrat_183,08-16-21,44578.40694,VDSL,Résidentiel,Clôturé,Synchro pas d’accès > Problème configuration routeur,T,TRUE,TRUE,,TRUE,,7,2025
contrat_184,11-11-21,44676.40615,VDSL,Résidentiel,Clôturé,Pas de synchro > Problème côté TT,T,TRUE,TRUE,,TRUE,,7,2025
contrat_185,11-26-21,44526.41817,VDSL,Résidentiel,Clôturé,Wifi >(Autres),T,FALSE,TRUE,,TRUE,,7,2025
contrat_186,07-14-21,44391.78789,VDSL,Résidentiel,Clôturé,"Wifi > Changement paramètre (SSID, mot de passe, channel,…)",T,FALSE,TRUE,,TRUE,,7,2025
contrat_187,11-03-21,44503.7961,VDSL,Résidentiel,Clôturé,Lenteur > Taux de transfert  non-conforme,T,FALSE,TRUE,,TRUE,,7,2025
contrat_187,12-09-21,44539.5265,VDSL,Résidentiel,Clôturé,Lenteur > Taux de transfert  non-conforme,T,FALSE,TRUE,,TRUE,,7,2025
contrat_189,11-09-21,44676.40597,VDSL,Résidentiel,Clôturé,Pas de synchro > Problème côté TT,T,TRUE,TRUE,,TRUE,,7,2025
contrat_189,12-20-21,44550.49965,VDSL,Résidentiel,Clôturé,Pas de synchro > Problème de paiement facture TT,NT,,,TRUE,TRUE,,7,2025
contrat_191,07-08-21,44385.84551,VDSL,Résidentiel,Clôturé,Synchro pas d’accès > Contrat suspendu côté Gnet,NT,,,FALSE,TRUE,,7,2025
contrat_192,11-15-21,44515.46611,VDSL,Résidentiel,Clôturé,Synchro pas d’accès > Problème configuration routeur,T,TRUE,TRUE,,TRUE,,7,2025
contrat_192,10-24-21,44493.42249,VDSL,Résidentiel,Clôturé,Pas de synchro > Problème Tonalité,T,TRUE,TRUE,,TRUE,,7,2025
contrat_194,07-14-21,44391.45836,VDSL,Résidentiel,Clôturé,Lenteur > Taux de transfert  non-conforme,T,FALSE,TRUE,,TRUE,,7,2025
contrat_195,12-07-21,44537.54282,VDSL,Résidentiel,Clôturé,Routeur panne > Panne Hard,T,TRUE,TRUE,,TRUE,,7,2025
contrat_195,10-08-21,44477.61907,VDSL,Résidentiel,Clôturé,Navigation >(Autres),T,TRUE,TRUE,,TRUE,,7,2025
contrat_197,08-16-21,44424.42681,VDSL,Résidentiel,Clôturé,Pas de synchro > Problème côté TT,T,TRUE,TRUE,,TRUE,,7,2025
contrat_198,11-01-21,44501.39248,VDSL,Résidentiel,Clôturé,Pas de synchro > Grésillement sur la ligne,T,TRUE,TRUE,,TRUE,,7,2025
contrat_199,12-14-21,44544.57591,VDSL,Résidentiel,Clôturé,Pas de synchro > Problème côté TT,T,TRUE,TRUE,,TRUE,,7,2025
contrat_1100,11-30-21,44530.48825,VDSL,Résidentiel,Clôturé,Pas de synchro > Problème de paiement facture TT,NT,,,TRUE,TRUE,,7,2025
contrat_1101,08-27-21,44578.40839,SDSL,Pro,Clôturé,Synchro pas d’accès > Problème configuration routeur,T,TRUE,TRUE,,TRUE,,7,2025
contrat_1102,08-25-21,44455.57808,SDSL,Pro,Clôturé,Pas de synchro >(Autres),T,TRUE,TRUE,,TRUE,,7,2025
contrat_1103,07-29-21,44406.48324,SDSL,Pro,Clôturé,Pas de synchro > Problème Tonalité,T,TRUE,TRUE,,TRUE,,7,2025
contrat_1104,12-13-21,44627.46549,SDSL,Pro,Clôturé,Résiliation: Demande de Résiliation,NT,,,FALSE,TRUE,,7,2025
contrat_1105,08-12-21,44578.40666,SDSL,Pro,Clôturé,Pas de synchro > Problème côté TT,T,TRUE,TRUE,,TRUE,,7,2025
contrat_1105,12-25-21,44555.29878,SDSL,Pro,Clôturé,Synchro pas d’accès >(Autres),T,TRUE,TRUE,,TRUE,,7,2025
contrat_1107,08-06-21,44452.59336,SDSL,Résidentiel,Clôturé,Pas de synchro > Problème côté TT,T,TRUE,TRUE,,TRUE,,7,2025
contrat_1108,12-27-21,44557.75389,SDSL,Résidentiel,Clôturé,Pas de synchro > Problème Tonalité,T,TRUE,TRUE,,TRUE,,7,2025
contrat_1109,12-21-21,44551.45051,SDSL,Résidentiel,Clôturé,Déconnexion > Avec perte de synchro (Problème côté TT),T,TRUE,TRUE,,TRUE,,7,2025
contrat_1109,10-04-21,44474.4374,SDSL,Résidentiel,Clôturé,Partenariat: prolongation provisoire d’échéance,NT,,,FALSE,TRUE,,7,2025
contrat_1111,08-25-21,44433.51669,SDSL,Résidentiel,Clôturé,Pas de synchro > Problème côté TT,T,TRUE,TRUE,,TRUE,,7,2025
contrat_1112,08-30-21,44578.40851,SDSL,Résidentiel,Clôturé,Pas de synchro >(Autres),T,TRUE,TRUE,,TRUE,,7,2025
contrat_1112,11-25-21,44676.4091,SDSL,Résidentiel,Clôturé,"Lenteur > Débit non conforme (Installation interne, Alarme, Standard, Rallonge…)",T,FALSE,TRUE,,TRUE,,7,2025
contrat_1114,11-11-21,44511.59189,SDSL,Résidentiel,Clôturé,Déconnexion > Avec perte de synchro (Problème côté TT),T,TRUE,TRUE,,TRUE,,7,2025
contrat_1115,12-30-21,44655.79488,SDSL,Résidentiel,Clôturé,Pas de synchro >(Autres),T,TRUE,TRUE,,TRUE,,7,2025
contrat_1115,09-07-21,44446.5595,SDSL,Résidentiel,Clôturé,Partenariat: prolongation provisoire d’échéance,NT,,,FALSE,TRUE,,7,2025
contrat_1117,10-16-21,44489.31,SDSL,Résidentiel,Clôturé,Financier: Arrêt contrat,NT,,,FALSE,TRUE,,7,2025
contrat_1117,10-13-21,44485.3659,SDSL,Résidentiel,Clôturé,Partenariat: Suivi demande,NT,,,FALSE,TRUE,,7,2025
contrat_1117,10-12-21,44550.46318,SDSL,Résidentiel,Clôturé,Résiliation: Demande de Résiliation,NT,,,FALSE,TRUE,,7,2025
contrat_1117,10-12-21,44485.36586,SDSL,Résidentiel,Clôturé,Partenariat: Modem : Retour Sans paiement,NT,,,FALSE,TRUE,,7,2025
contrat_1121,08-18-21,44426.48676,SDSL,Résidentiel,Clôturé,Synchro pas d’accès > Problème configuration routeur,T,TRUE,TRUE,,TRUE,,7,2025
contrat_1122,07-07-21,44384.45481,SDSL,Résidentiel,Clôturé,"Lenteur > Débit non conforme (Installation interne, Alarme, Standard, Rallonge…)",T,FALSE,TRUE,,TRUE,,7,2025
contrat_1123,11-02-21,44565.73405,SDSL,Résidentiel,Clôturé,Pas de synchro > Problème côté TT,T,TRUE,TRUE,,TRUE,,7,2025
contrat_1124,10-02-21,44471.52183,SDSL,Résidentiel,Clôturé,Pas de synchro > Problème côté TT,T,TRUE,TRUE,,TRUE,,7,2025
contrat_1125,07-10-21,44460.58205,SDSL,Résidentiel,Clôturé,Pas de synchro > Problème côté TT,T,TRUE,TRUE,,TRUE,,7,2025
contrat_1126,11-26-21,44536.60137,SDSL,Résidentiel,Clôturé,Synchro pas d’accès > Problème côté TT,T,TRUE,TRUE,,TRUE,,7,2025
contrat_1126,12-03-21,44534.42647,SDSL,Résidentiel,Clôturé,Financier: Arrêt contrat,NT,,,FALSE,TRUE,,7,2025
contrat_1126,12-02-21,44550.56106,SDSL,Résidentiel,Clôturé,Résiliation: Demande de Résiliation,NT,,,FALSE,TRUE,,7,2025
contrat_1129,10-27-21,44578.43084,SDSL,Résidentiel,Clôturé,Pas de synchro >(Autres),T,TRUE,TRUE,,TRUE,,7,2025
contrat_1129,07-17-21,44454.69534,SDSL,Résidentiel,Clôturé,Lenteur > Débit non conforme (problème ligne TT),T,FALSE,TRUE,,TRUE,,7,2025
contrat_1131,12-21-21,44551.45063,SDSL,Résidentiel,Clôturé,Lenteur > Taux de transfert  non-conforme,T,FALSE,TRUE,,TRUE,,7,2025
contrat_1132,09-10-21,44488.39078,SDSL,Résidentiel,Clôturé,Lenteur > Taux de transfert  non-conforme,T,FALSE,TRUE,,TRUE,,7,2025
contrat_1133,08-03-21,44578.4033,SDSL,Résidentiel,Clôturé,Déconnexion > Avec perte de synchro (Problème côté TT),T,TRUE,TRUE,,TRUE,,7,2025
contrat_1134,08-05-21,44413.40383,SDSL,Résidentiel,Clôturé,Synchro pas d’accès > Problème configuration routeur,T,TRUE,TRUE,,TRUE,,7,2025
contrat_1135,08-26-21,44434.52662,SDSL,Résidentiel,Clôturé,Synchro pas d’accès > Problème configuration routeur,T,TRUE,TRUE,,TRUE,,7,2025
contrat_1136,10-14-21,44483.48683,SDSL,Résidentiel,Clôturé,Déconnexion > Avec perte de synchro (Problème côté TT),T,TRUE,TRUE,,TRUE,,7,2025
contrat_1136,07-06-21,44383.8115,SDSL,Résidentiel,Clôturé,Synchro pas d’accès > Contrat suspendu côté Gnet,NT,,,FALSE,TRUE,,7,2025
contrat_1136,11-05-21,44676.40545,FTTH,Résidentiel,Clôturé,Lenteur >(Autres),T,FALSE,TRUE,,TRUE,,7,2025
contrat_1139,10-30-21,44499.31963,FTTH,Résidentiel,Clôturé,Pas de synchro > Problème côté TT,T,TRUE,TRUE,,TRUE,,7,2025
contrat_1139,11-16-21,44516.45597,FTTH,Résidentiel,Clôturé,Synchro pas d’accès > Problème configuration routeur,T,TRUE,TRUE,,TRUE,,7,2025
contrat_1139,07-23-21,44578.40191,FTTH,Résidentiel,Clôturé,Lenteur > Débit non conforme (problème ligne TT),T,FALSE,TRUE,,TRUE,,7,2025
contrat_1142,10-11-21,45044.42038,FTTH,Pro,Clôturé,Partenariat: Modem : Retour & paiement restant dû,NT,,,FALSE,TRUE,,7,2025
contrat_1142,09-21-21,44534.46715,FTTH,Pro,Clôturé,Résiliation: Demande de Résiliation,NT,,,FALSE,TRUE,,7,2025
contrat_1144,07-07-21,44384.44609,FTTH,Pro,Clôturé,Pas de synchro > Problème côté TT,T,TRUE,TRUE,,TRUE,,7,2025
contrat_1145,11-25-21,44525.50983,FTTH,Pro,Clôturé,Déconnexion > Avec perte de synchro (Problème côté TT),T,TRUE,TRUE,,TRUE,,7,2025
contrat_1145,07-01-21,44578.39838,FTTH,Pro,Clôturé,Lenteur > Débit non conforme (problème ligne TT),T,FALSE,TRUE,,TRUE,,7,2025
contrat_1147,08-03-21,44455.5472,FTTH,Résidentiel,Clôturé,Synchro pas d’accès > Problème côté TT,T,TRUE,TRUE,,TRUE,,7,2025
contrat_1148,11-23-21,44587.70747,FTTH,Résidentiel,Clôturé,Partenariat: Réactivation contrat,NT,,,FALSE,TRUE,,7,2025
contrat_1149,12-28-21,44558.61115,FTTH,Résidentiel,Clôturé,Synchro pas d’accès > Contrat suspendu côté Gnet,NT,,,FALSE,TRUE,,7,2025
contrat_1149,09-27-21,44466.58986,FTTH,Résidentiel,Clôturé,Partenariat: Réactivation contrat,NT,,,FALSE,TRUE,,7,2025
contrat_1151,08-20-21,44501.60395,FTTH,Résidentiel,Clôturé,Pas de synchro > Problème côté TT,T,TRUE,TRUE,,TRUE,,7,2025
contrat_1151,11-24-21,44524.43934,FTTH,Résidentiel,Clôturé,Gratuité: Geste commercial suite Prob Technique,NT,,,FALSE,TRUE,,7,2025
contrat_1151,11-04-21,44505.40688,FTTH,Résidentiel,Clôturé,Résiliation : Rétention proactive,NT,,,FALSE,TRUE,,7,2025
contrat_1151,11-29-21,44530.38523,FTTH,Résidentiel,Clôturé,Financier: Suivi demande,NT,,,FALSE,TRUE,,7,2025
contrat_1155,11-03-21,44510.62315,FTTH,Résidentiel,Clôturé,Partenariat: Suivi demande,NT,,,FALSE,TRUE,,7,2025
contrat_1155,11-08-21,44510.61985,FTTH,Résidentiel,Clôturé,Partenariat: Suivi demande,NT,,,FALSE,TRUE,,7,2025
contrat_1155,11-02-21,44511.39331,FTTH,Résidentiel,Clôturé,Gratuité: Réctif date d’échéance suite Retard d’activation Ligne TT,NT,,,FALSE,TRUE,,7,2025
contrat_1158,07-07-21,44384.50965,FTTH,Pro,Clôturé,Résiliation : Suivi de la résiliation,NT,,,FALSE,TRUE,,7,2025
contrat_1158,07-07-21,44384.52029,FTTH,Pro,Clôturé,Financier: Arrêt contrat,NT,,,FALSE,TRUE,,7,2025
contrat_1160,08-30-21,44438.41764,FTTH,Pro,Ouvert,Partenariat: Proposition gratuité rétention TT,NT,,,FALSE,TRUE,,7,2025
contrat_1161,11-16-21,44516.36472,FTTH,Pro,Clôturé,Pas de synchro > Problème côté TT,T,TRUE,TRUE,,TRUE,,7,2025
contrat_1161,09-02-21,44441.42102,FTTH,Pro,Clôturé,Routeur panne > Panne Hard,T,TRUE,TRUE,,TRUE,,7,2025
contrat_1163,07-02-21,44578.39844,FTTH,Résidentiel,Clôturé,Navigation >(Autres),T,TRUE,TRUE,,TRUE,,7,2025
contrat_1164,09-29-21,44468.65954,FTTH,Résidentiel,Clôturé,Financier: Prolongation provisoire d’échéance,NT,,,TRUE,TRUE,,7,2025
contrat_1164,10-04-21,44473.38753,FTTH,Résidentiel,Clôturé,Financier: Réactivation Provisoire du contrat,NT,,,FALSE,TRUE,,7,2025
contrat_1166,09-08-21,44447.4097,FTTH,Résidentiel,Clôturé,Résiliation : Suivi de la résiliation,NT,,,FALSE,TRUE,,7,2025
contrat_1166,09-08-21,44447.53034,FTTH,Résidentiel,Clôturé,Financier: Arrêt contrat,NT,,,FALSE,TRUE,,7,2025
contrat_1166,09-06-21,44471.3998,FTTH,Résidentiel,Clôturé,Résiliation: Demande de Résiliation,NT,,,FALSE,TRUE,,7,2025
contrat_1169,08-17-21,44578.40718,FTTH,Résidentiel,Clôturé,"Lenteur > Débit non conforme (Installation interne, Alarme, Standard, Rallonge…)",T,FALSE,TRUE,,TRUE,,7,2025
contrat_1169,12-21-21,44552.34155,FTTH,Pro,Clôturé,Financier: Arrêt contrat,NT,,,FALSE,TRUE,,7,2025
contrat_1169,12-20-21,44627.43892,FTTH,Pro,Clôturé,Résiliation: Demande de Résiliation,NT,,,FALSE,TRUE,,7,2025
contrat_1172,07-24-21,44427.47352,FTTH,Pro,Clôturé,Pas de synchro > Problème côté TT,T,TRUE,TRUE,,TRUE,,7,2025
contrat_1173,10-14-21,44483.55081,FTTH,Pro,Clôturé,"Lenteur > Débit non conforme (Installation interne, Alarme, Standard, Rallonge…)",T,FALSE,TRUE,,TRUE,,7,2025
contrat_1174,12-27-21,44557.50394,FTTH,Pro,Clôturé,Lenteur > Débit non conforme (problème ligne TT),T,FALSE,TRUE,,TRUE,,7,2025
contrat_1175,07-02-21,44379.88551,FTTH,Pro,Clôturé,Pas de synchro > Problème Tonalité,T,TRUE,TRUE,,TRUE,,7,2025
contrat_1176,07-05-21,44382.43734,FTTH,Pro,Clôturé,Financier: Réactivation Provisoire du contrat,NT,,,FALSE,TRUE,,7,2025
contrat_1177,09-13-21,44452.37984,FTTH,Résidentiel,Clôturé,Pas de synchro > Problème côté TT,T,TRUE,TRUE,,TRUE,,7,2025
contrat_1177,11-18-21,44522.4555,FTTH,Résidentiel,Clôturé,Gratuité: Geste commercial suite Prob Technique,NT,,,FALSE,TRUE,,7,2025
